"iati-identifier","title","reporting-org","total-commitment","total-spend","currency","link","activity-status"
"GB-GOV-13-OODA-BBSRC-JWSN6AS-FA27YB9-EAZ7BFQ","Rhizosphere by design: breeding to select root traits that physically manipulate soil","UK - Department for Business, Energy and Industrial Strategy (BEIS)","336,115","294,859","USD","https://d-portal.org/ctrack.html#view=act&aid=GB-GOV-13-OODA-BBSRC-JWSN6AS-FA27YB9-EAZ7BFQ",5
"XM-DAC-5-7-6615445","Repairworks at a school in Cap Haïtien (Haiti)","Germany - Federal Foreign Office",0,0,"USD","https://d-portal.org/ctrack.html#view=act&aid=XM-DAC-5-7-6615445",4
"BE-BCE_KBO-0418015461-HorsDGD_2020","Financements hors DGD 2020","Entraide et Fraternité","584,113","584,113","USD","https://d-portal.org/ctrack.html#view=act&aid=BE-BCE_KBO-0418015461-HorsDGD_2020",4
"XM-DAC-41301-671242","Assistance agricole d`urgence aux ménages vulnérables affectés par la sécheresse et la crise socio-économique dans les départements du Nord-ouest et de Grande Anse","Food and Agriculture Organization of the United Nations (FAO)","1,249,999","1,237,207","USD","https://d-portal.org/ctrack.html#view=act&aid=XM-DAC-41301-671242",3
"CH-4-2008004888","World Food Programme (WFP), food assistance","Switzerland - Swiss Agency for Development and Cooperation (SDC)","1,687,976","1,687,976","USD","https://d-portal.org/ctrack.html#view=act&aid=CH-4-2008004888",2
"XM-DAC-41301-681321","Action Précoce pour la préservation des moyens d`existence des ménages vulnérables affectés par la crise de la Pandémie COVID-19 en Haïti","Food and Agriculture Organization of the United Nations (FAO)","540,000","506,088","USD","https://d-portal.org/ctrack.html#view=act&aid=XM-DAC-41301-681321",3
"NO-BRC-971277882-HTI-16/0010","Parc Macaya II Project","Norad - Norwegian Agency for Development Cooperation","5,054,354","4,893,953","USD","https://d-portal.org/ctrack.html#view=act&aid=NO-BRC-971277882-HTI-16%2F0010",3
"XM-OCHA-CERF-20-UF-CEF-021","Soutien à l’éducation, à la protection et à la santé des filles et des garçons affectés par la crise dans le Nord-Ouest et la Grand’Anse","United Nations Central Emergency Response Fund (CERF)","2,000,002","2,000,002","USD","https://d-portal.org/ctrack.html#view=act&aid=XM-OCHA-CERF-20-UF-CEF-021",4
"FR-6-HT-HTI-20-04","FSPI n° 2020-37 - PERFH "" Pour un enseignement renouvelé du français en Haïti "" - 209HTI0090","France - Ministry for Europe and Foreign Affairs","269,198","233,356","USD","https://d-portal.org/ctrack.html#view=act&aid=FR-6-HT-HTI-20-04",2
"XM-DAC-41301-640345","FAO Haiti - GEF Portfolio Oversight Account","Food and Agriculture Organization of the United Nations (FAO)","68,175","67,687","USD","https://d-portal.org/ctrack.html#view=act&aid=XM-DAC-41301-640345",4
"FR-6-HT-HTI-19-02","Consolidation Collectivités Territoriales et décentralisation - 209HTI0083","France - Ministry for Europe and Foreign Affairs","30,413","26,364","USD","https://d-portal.org/ctrack.html#view=act&aid=FR-6-HT-HTI-19-02",2
"FR-6-HT-HTI-19-03","Soutien société civile / acteurs changement - 209HTI0084","France - Ministry for Europe and Foreign Affairs","76,643","66,438","USD","https://d-portal.org/ctrack.html#view=act&aid=FR-6-HT-HTI-19-03",2
"XM-DAC-5-7-6615323","Construction of a cisterne for the women of the bakery at Aquin / Haiti","Germany - Federal Foreign Office","28,687","28,687","USD","https://d-portal.org/ctrack.html#view=act&aid=XM-DAC-5-7-6615323",4
